Data from h2d2-2_HR4C25001_18-00-31-218.txt Node
Date: Thu Aug 31 18:00:31 CDT 2023
User: kk37594
Spectrometer: HR4C2500
Trigger mode: 4
Integration Time (sec): 2.500000E-1
Scans to average: 5
Electric dark correction enabled: true
Nonlinearity correction enabled: false
Boxcar width: 0
XAxis mode: Wavelengths
Number of Pixels in Spectrum: 3648
>>>>>Begin Spectral Data<<<<<
629.667	-123.2
629.685	-123.2
629.703	-123.2
629.722	-150.2
629.74	-108.4
629.758	-5
629.776	3.2
629.795	35.6
629.813	12.6
629.831	-26.8
629.85	4.2
629.868	19.4
629.886	43.6
629.905	-44.8
629.923	-30
629.941	-8
629.96	5.6
629.978	-9.6
629.996	-11.4
630.014	51.6
630.033	39.2
630.051	22.4
630.069	10.2
630.088	44
630.106	8.2
630.124	-23.6
630.142	-16.8
630.161	-28
630.179	-12.6
630.197	-10.2
630.216	59.4
630.234	214.4
630.252	81.6
630.27	32
630.289	22.2
630.307	21
630.325	7.6
630.343	1.8
630.362	28.4
630.38	69.8
630.398	11.4
630.416	-13.4
630.435	-13
630.453	11.8
630.471	33.4
630.489	6.6
630.507	20.6
630.526	22
630.544	21.2
630.562	11.2
630.58	12
630.599	22.2
630.617	1.4
630.635	-9.6
630.653	13.2
630.671	31.8
630.69	9
630.708	15.8
630.726	20.8
630.744	11
630.762	-19
630.781	-14.8
630.799	6.6
630.817	34.2
630.835	47.2
630.853	6.8
630.871	-3.4
630.89	26.4
630.908	-3
630.926	-34.6
630.944	24
630.962	81.6
630.98	116.6
630.999	16.6
631.017	12.2
631.035	5.4
631.053	-13.2
631.071	8
631.089	3.2
631.108	3.4
631.126	24
631.144	10.6
631.162	22.2
631.18	31.8
631.198	30.2
631.216	3.8
631.234	-19.6
631.253	1
631.271	9.2
631.289	-3.2
631.307	12
631.325	17.4
631.343	34.6
631.361	5.8
631.379	14.6
631.398	13.6
631.416	17.8
631.434	-13.6
631.452	-4.4
631.47	-18.6
631.488	-21
631.506	-27.2
631.524	-21.8
631.542	20
631.56	14
631.578	9.2
631.597	2.2
631.615	-30.8
631.633	-16.2
631.651	-4.2
631.669	-12.2
631.687	45.4
631.705	60
631.723	18.8
631.741	-2.8
631.759	8
631.777	11.2
631.795	13.8
631.813	15
631.831	7.8
631.849	36
631.867	21.2
631.885	13.8
631.903	34.8
631.922	-8
631.94	-17.8
631.958	-5
631.976	11.4
631.994	-7
632.012	-17.2
632.03	13.8
632.048	49.6
632.066	40.6
632.084	6.4
632.102	0.4
632.12	-17.2
632.138	-2
632.156	26
632.174	-7
632.192	-11.6
632.21	-5.2
632.228	-28.8
632.246	-13.4
632.264	12.8
632.282	38.2
632.3	-8.4
632.318	-1.8
632.336	17.4
632.354	14.4
632.372	-1.4
632.39	3.2
632.408	4.6
632.426	-24
632.443	9.2
632.461	2.2
632.479	9
632.497	5
632.515	-3.6
632.533	21.4
632.551	19.4
632.569	8.4
632.587	-12.2
632.605	-16
632.623	10.8
632.641	23
632.659	-32
632.677	-16.4
632.695	-11
632.713	-6.6
632.731	8.2
632.748	19.2
632.766	22.8
632.784	27.6
632.802	9.4
632.82	31.2
632.838	11.2
632.856	-7.8
632.874	4.8
632.892	-11
632.91	-2.2
632.928	8.6
632.945	-4.8
632.963	12.6
632.981	26.2
632.999	11.2
633.017	-10.4
633.035	4.4
633.053	1
633.071	3.6
633.089	-25.6
633.106	9.8
633.124	44.2
633.142	6.6
633.16	21
633.178	17.4
633.196	31.6
633.214	26
633.231	20.6
633.249	-14.2
633.267	-1.8
633.285	17
633.303	-22.4
633.321	-17.6
633.339	23.8
633.356	60.2
633.374	18.6
633.392	5.6
633.41	-5.6
633.428	13.4
633.446	-12.6
633.463	-36.4
633.481	-14.6
633.499	-22.4
633.517	-2.8
633.535	-3.4
633.552	17
633.57	0.4
633.588	-24.2
633.606	-23.4
633.624	12
633.641	12
633.659	-13.8
633.677	-25
633.695	3.2
633.713	23.2
633.73	12.4
633.748	-11.8
633.766	-1.8
633.784	8.2
633.802	-10
633.819	-12.8
633.837	-6.6
633.855	-59.8
633.873	-55
633.89	-28.4
633.908	23.4
633.926	6.8
633.944	-19.2
633.961	-0
633.979	23.2
633.997	-50.2
634.015	-9.4
634.032	29.2
634.05	40.2
634.068	-18.8
634.086	13.8
634.103	22.2
634.121	6.8
634.139	28.8
634.157	3.2
634.174	-10.8
634.192	-11.8
